,count,TP,TN,FP,FN,TPR,TNR,TPR_bootstrapped,TPR_lowCI,TPR_hiCI,TNR_bootstrapped,TNR_lowCI,TNR_hiCI,sens_sd,spec_sd,se_alpha,se_beta,sp_alpha,sp_beta,sens_var,spec_var
amk,3900,359,3334,17,190,0.654,0.995,0.653624432,0.612084456,0.694656489,0.994943923,0.992319939,0.997194688,0.021064294,0.001243558,332.8572434,176.3912288,3235.528784,16.44221578,0.000443704,1.55E-06
cap,4193,353,3520,91,229,0.607,0.975,0.606486196,0.564766373,0.647172384,0.974778443,0.969295504,0.979837799,0.021021942,0.002689361,326.9273301,212.1242299,3312.514126,85.70846477,0.000441922,7.23E-06
cip,374,39,323,6,6,0.867,0.982,0.867486034,0.75,0.966666667,0.981910888,0.965622306,0.996096709,0.055272109,0.007774082,31.77434882,4.853732295,287.596053,5.298196891,0.003055006,6.04E-05
emb,15187,2505,11345,936,401,0.862,0.924,0.861911926,0.848827132,0.874447717,0.923824524,0.918753463,0.928702196,0.006535864,0.002537942,2400.601304,384.6035778,10092.32,832.1789042,4.27E-05,6.44E-06
eth,1515,310,825,221,159,0.661,0.789,0.661094723,0.615212117,0.705479828,0.788539104,0.762620266,0.81427393,0.023027477,0.013176955,278.6659573,142.8560237,756.4738941,202.8620352,0.000530265,0.000173632
inh,18657,5410,12460,302,485,0.918,0.976,0.917786496,0.910232714,0.924977297,0.97635387,0.973575632,0.979122994,0.003761373,0.001415143,4893.867881,438.3830317,11254.76026,272.5769134,1.41E-05,2.00E-06
kan,4074,335,3525,40,174,0.658,0.989,0.657908737,0.614254975,0.700209644,0.988820548,0.985061249,0.992298692,0.021927211,0.001846286,307.3107338,159.7916415,3205.705243,36.24320708,0.000480803,3.41E-06
levo,154,77,44,14,19,0.802,0.759,0.801884899,0.715909091,0.881582484,0.759360631,0.638297872,0.867647059,0.042263621,0.058507446,70.51760755,17.42220481,39.77660789,12.60510149,0.001786214,0.003423121
oflx,4531,460,3794,51,226,0.671,0.987,0.670399026,0.633180944,0.706708831,0.986735411,0.982853508,0.990342201,0.018757114,0.001910381,420.3694486,206.674196,3537.806968,47.55839799,0.000351829,3.65E-06
pas,457,3,418,2,34,0.081,0.995,0.0807247,0,0.1875,0.995165729,0.987277354,1,0.047831633,0.003245573,2.537627441,28.89794855,453.5102391,2.203041497,0.002287865,1.05E-05
pza,13895,1371,11440,220,864,0.613,0.981,0.613434808,0.592052809,0.634347914,0.981117205,0.97855894,0.983715766,0.010789568,0.001315517,1248.930307,787.0322608,10502.06161,202.1249606,0.000116415,1.73E-06
rif,19046,4677,13877,247,245,0.95,0.983,0.950235548,0.943583931,0.956493451,0.982527922,0.980230307,0.984719447,0.003293245,0.001145189,4142.228702,216.9312039,12860.17408,228.6896481,1.08E-05,1.31E-06
str,6926,1686,4336,524,380,0.816,0.892,0.816064348,0.798406696,0.833076567,0.89209885,0.882884272,0.900895198,0.008844355,0.004594624,1565.15017,352.7747753,4066.83753,491.8921781,7.82E-05,2.11E-05
inh_mono,13605,902,12354,140,209,0.812,0.989,0.81129,0.78415,0.84041,0.98878,0.98639,0.99079,0.014352041,0.001122449,602.1922181,140.0728389,8705.819563,98.78769342,0.000205981,1.26E-06
shrt_crs,2513,401,1233,39,840,0.911363636,0.594790159,,0.8808,0.93621,,0.57329,0.616,,,,,,,,
